	Word	Judgement	Example	Prediction
41	population		secondly it not only would be at least 2 decades before turkey could join the eu but turkey 's muslim population is already quite progressive .	the body of people living in a particular place
42	population		in fact the day 's govt 2 wishd the same pls stop fooling the population let a quick decision happn	the people living in a particular place
43	population		if demand for kangaroo meat increased significantly the overall animal population simply would n't be large enough to sustain it without intervention .	the total number of animals or plants inhabiting a particular area
44	population		at present we add more flyovers and metros and further increase the population .	the extent to which people live in a particular place
45	population		features of the graph including the initial population size the inflection point	a graph representing the area covered by one variable
46	population		debramessing that is statistical bait and switch at its best . the population has increased in cities .	the total number or amount of people living in a particular place
47	population		population is lower but quite livable outside of the slow hours .	the extent to which one is or has been populated
48	population		user in fact mughal period is the only time in india 's history when it 's per capita gdp was significantly above global average . 1500 24.4 gdp 18.0 population 1600 22.4 gdp 17.9 population	the extent to which an item or group of items is populated
49	population		user joshfrydenberg most peeps would prefer to keep out of that festering crap that has engulfed the middle east for the past 70 years and for frydenberg whose loyalties appear to be with israel does the general population no favours by dragging us into a dangerous dispute .	the main body of people living in a particular place
50	talks		the cocoon delegation is getting ready to move to herald costprogramme summit 2018 in braga portugal . well represented with no less than 5 aldep talks !	formal discussions or negotiations over a period of time
51	talks		user and find someone who says they are sympathetic to nervous patients mine is very calming and talks to me reassuringly to get me through the pain of the injections .	engage in conversation
52	talks		self-help guru bryan tracy often talks about this saying we should verbally give our subconscious mind 'assignments ' to think about or figure out when we 're going to sleep so that we 'll wake up with answers and insights we would n't otherwise have .	used in reference to a particular situation or point of view
53	talks		bet on bilbao and they score lino talks to ref and decides it 's a penalty then changes his mind and gives offside !	indiscreetly give information to an opposing player
54	talks		been told that talks between user and the northumfa have been positive and a statement on the club 's future could be released next week	discussions or negotiations over a period of time
55	talks		thanks for all the good talks and having someone to share my hate for caroline bennett with user	cooperative and helpful discussions
56	talks		let 's not derail the fact that n.korea talks did n't go well .	formal discussions or negotiations over a long period
57	talks		there have been so many fantastic talks this conference already and i 'm excited !	a discussion between participants in an international conference or project
58	talks		shireenmazari1 shireen you do not give excuses when khwaja asif abused you did you send us whatsapp no but we manage to fight on your behalf this is ironic excuse do some this we need action not your flimsy talks pls	a weak or ineffectual talk
59	talks		at the start of the year my wife and i were having issues and during our talks i said i am going to start a cycle because i have always wanted too and ill resent you forever if i was to be with you and never be able to try it .	a conversation or discussion
60	talks		user are n't we supposed to be interested in him ? user seems to think he 's had talks ?	private conversation or discussions
61	talks		everybody talks shit behind your back but when your in there face they do n't say shit	talk in a bad or rude way
62	talks		ah yes lets change our plans immediately after kate talks about how excited she is about them	the expression of feelings by talking
63	talks		quentin nelson might be the best interior offensive linemen in this draft . he also talks like he 's being held hostage .	talk in a confidential or gossiping way
64	talks		rvacchianosny collins talks too much . some things need to stay in the locker room .	express ( an opinion ) by speech or argument
65	talks		adam then talks to another fan about feelings and sensitivities and adam and shek bring today 's sports ' .	take part in a conversation or discussion
66	talks		man all these talks and posts about season 6 being different from the previous 5 seasons makes me a little anxious .	long-winded conversation or discussion
67	talks		user acastudy17 great study day in manchester over 100 delegates enjoying great talks and exhibition	a presentation in speech or writing
68	talks		the tassie paper removed references to bryant in response to readers and talks about victims and gun crimes user jeraa2016	a communication in speech or writing
69	talks		user with your permission and attribution i would like to use this in my upcoming series of cybersecurity talks .	a conversation or discussion
70	talks		we all have that friend that only talks to you when they need something	seek to establish communication with others
71	talks		my nmom talks about me and my brothers having lives and getting started when we started to notice she 's all talk and no action .	idle or inconsequential talk
72	talks		user toddcarey i hope he talks to me miss him to death	talk in order to express annoyance
73	talks		moyes talks about himself lvg talks about his philosophy and mourinho talks about winning .	talk about ( something ) in speech or writing
74	talks		breaking venezuelan government opposition will send delegates to explore possibility of new talks .	formal discussions to resolve a problem or dispute
75	training		the first couple of weeks were hard and i was already doing some light training before hand it does get easier and it worth it in the end !	the action of learning or doing something in preparation for a sporting event
76	training		easports_mut eamaddennfl y'all wan na slide me one for my t4 denver t5 go deep and t12 training chems ?	denoting a type of racehorse or triathlon
77	training		what that means is that we dont run ranks or training but instead we focus on getting into the experiences of what arma can offer .	the action of learning or doing something in preparation for a sporting event
78	training		then we 'll go back to weekly until we get closer to training camp .	the action of informing people or animals for a sporting event
79	training		i got so tired of ab i sold him for training to upgrade moss to 89 so if you have the same problems i 'd recommend that .	the action of doing something in preparation for a particular sport or event
80	training		asromaen for a second i thought this was a training ground commentary tbh ... still thinking woj is a roma player	serving to develop a skill or pattern of behaviour
81	training		user also a big shout out to dave and his ifra team an absolute outstanding feat to bring the guys over deliver 1st class training .	the action of teaching or doing something in preparation for a sporting event
82	training		people ask him questions that take 30 seconds to figure out in training mode he is just trying to get people to want to learn .	the process of developing character or strength through practice and instruction
83	training		user he does that in training . name me a manager that offers solutions in a post match press conference !	the action of learning or doing something in preparation for a sporting event
84	training		to me airsoft is a game and i do n't want to relate my military training especially weapon training to come into much play .	the action of instructing someone to do a particular sport or task
85	training		a summer competition has a 270 keg and i barely squeaked out a 200 keg yesterday in training .	the action of taking courses in a particular sport or activity
86	training		user suppose it 's a fitness test of sorts tells me where am at but we 're using it to give me my hr zones for training	the action of doing something in preparation for a sporting event
87	training		i hope to find a dom/me or couple who is open to training me and providing feminine advice .	the action of teaching or instructing ( someone ) to do something by sustained practice and instruction
88	training		that geddon is the reason i 'm now training amarr bs 5 on my blops char .	the action of getting trained for a particular sport or event
89	training		the dive shop in mexico will check your referral some places may do a quick check out in the pool just to make sure you know your skills and then take you on your open water dives thus completing your training and certifying you an open water scuba diver !	knowledge of how to swim or dive in a particular water
90	training		user good course on in the sceilig islands level 8 jedi training good job opportunities afterwards aswell	the process of learning and developing skills necessary to do a particular job
91	training		watching user and user videos makes me so excited to start my training and start flying	a series of actions intended to train or prepare for something
92	training		each state has a unique economy and they know what education best coincides with the shape of their economic landscape . creativity needed n must be homegrown.more training ?	the action of learning or being taught ; education
93	training		or are there other better ways of doing research and training for research ?	the action of recruiting people for a particular job or purpose
94	training		nothing that ca n't be fixed with time in training mode .	the process of doing something in preparation for a specific sport or event
95	training		hey since yesterday whenever i try to enter the training room f12 i think it was it always get stuck on the loading screen with criket running and stays there in a loop .	used to train people for a particular sport or event
96	training		i had to go in the back to do computer training ?	the action of instructing someone to do or learn something by sustained practice and instruction
97	training		the learners have started with induction on 31 january and 01 february 2018 and will be completing their training at the end of december 2018 .	the action of learning or teaching something
98	training		if a hospital is going to spend the money on training a new grad and they are n't quite ready to be on their own why not invest a little more and extend the orientation so you wo n't have to spend money on hiring someone else ?	the action of teaching or instructing someone to behave in a particular way
99	training		just started low hr training in order to improve my aerobic fitness .	the action of doing something in order to reach a specified fitness level or performance
100	lockdown		workers finally getting to go home to their families after lockdown procedures .	a system of confining people to their cell phones or computers
101	lockdown		the phone call from the district said info would be posted on the twitter feed with details from the lockdown .	an act of suspending someone or something temporarily
102	lockdown		diablo 's single target lockdown is also second to none .	a shot at an enemy target which is kept secret until further shots are made available
103	lockdown		glad we won certainly wish we did n't completely go into lockdown mode in the 3rd .	a system of control in an aircraft or other vehicle that is temporarily locked down
104	lockdown		in today 's what it means to be an american our small town pop 8,000 ish had active shooter training at the high school and a real actual lockdown at the junior high and middle school .	an act of detaining someone or something
105	lockdown		user he 's in lockdown because he is high profile .	a situation in which an individual or group is temporarily restricted to the private activities of their employer
106	lockdown		we need a for sure 3rd scorer who can also lockdown .	denoting a player who can not be restarted until their initial position is cleared
107	lockdown		walmart in colorado springs on lockdown . saw a guy with a rifle run through the store .	the action of unloading a firearm
108	lockdown		ohhhh we 're half way there ohhh living on a prayer 6 hours of cola lockdown done 6 more to go	a process of detachment by an officer
109	lockdown		i do get many steals and quite a ton of blocks but when i lockdown nobody notices !	( in poker or brag ) an act of detaining someone
110	lockdown		he reminds me of a very athletic draymond i think he has potential to be a lockdown defender with some offensive upside also	denoting a position in which an opponent is locked up and can not be tackled
111	lockdown		businesses open as usual . there is no ' lockdown ' .	a restriction on the movement of employees or customers until certain terms are agreed to
112	lockdown		all lee kids be on the look out kids are punching random people trying to get us out of school early . lockdown	a period during which schoolchildren are locked up and then allowed to go home
113	lockdown		abraham said he and his wife ate dinner with the buzz of helicopters over us . his hotel in barcelona is on lockdown .	the situation of a hotel or other establishment being temporarily locked up
114	lockdown		i probably would have tried to hop a plane with the charger girls when they were onboard but the ma 's had them on lockdown hard lol .	a state of isolation or surveillance
115	lockdown		during soft lockdown students remain in their classroom throughout the entire day .	a process in which students are locked up and allowed to rest after their hours
116	lockdown		campus is downtown and i live in a suburb on the lake . the lockdown on csu has been lifted .	the restriction of access to a campus or other location
117	lockdown		instead of having a bkb you now have extra disable items basher orchid and you hold the vp cores in lockdown and kill them .	( with reference to an external processor or peripheral controller ) the state of being temporarily locked down
118	lockdown		the worst part is they do n't want to tell him the school is on lockdown .	a state of isolation or restricted access instituted for security reasons
119	lockdown		viticci before lockdown do n't forget to check your email for a certain proposal	a process in which computers or other machines are temporarily locked down
120	lockdown		user ... i thought i had that spec on lockdown ?	a restriction on the operation of an engine or system
121	lockdown		yeah gos seems pretty bad the lockdown has kept me really into it though .	an act of restraining someone or something by force
122	lockdown		the lockdown begins in 30 minutes and lasts until 7:00 am !	a system of locking an office or place until certain security procedures are carried out
123	lockdown		ca n't wait to watch this new episode of ghostadventures they finally doing a session lockdown on the haunted hollywood sign .	a period of unrestricted access to an area or place
124	lockdown		user and not about favourite slebs not being on lockdown either as if that would grant them immortality .	a state of isolation or banishment for certain people
125	vanishes		we always wonder when we push send if everything just vanishes in the ether ...	gradually cease to exist
126	vanishes		random idea a shield that completely negates the next attack to hit it then vanishes .	fail to be hit or destroyed
127	vanishes		idk how so many people claim to hate ohio yet the second someone says o h all hatred vanishes and with so much pride they will shout i o like u love ohio just admit it	become less intense
128	vanishes		user primevideo amazonhelp amazonuk yes but my downloads list vanishes after a couple of days including the films i own !	become useless or unnoticeable
129	vanishes		to find out if someone has aggression problems give them german internet which vanishes every 2 minutes aaaaaaaaaaaaaaaaaaaah	become invisible or unnoticeable
130	vanishes		user user expose yourself to your deepest fear after that fear has no power . fear vanishes .	gradually cease to exist
131	vanishes		pass holders play bus bingo to see if their schedule bus shows up or just vanishes on their website ?	appear suddenly or unnoticeably
132	vanishes		you are a mist that appears for a little while and then vanishes .	gradually cease to exist
133	vanishes		expose yourself to your deepest fear after that fear has no power and the fear of freedom shrinks and vanishes .	shrink or become less powerful
134	manifesting		the tyrant is manifesting itself in front of your very eyes .	( of an immoral or violent person ) become visible through their actions
135	manifesting		so much hatred manifesting itself in such horrific ways through us the human race ...	( of an emotion ) becoming apparent in the visible world
136	manifesting		without a baseline of what her labs were like before these problems began manifesting those doctors have no idea whether that 's actually her normal or not .	appearing in the body as a visible sign or characteristic
137	manifesting		pretty sure this is some deity manifesting itself in a plant please be attentive to its care .	the manifestation of something in a visible form
138	manifesting		she wanted to pay back her suffering tenfold manifesting in a sadistic malice toward any who did not acknowledge or facilitate her authority .	making known ; betraying
139	manifesting		user zuma tenure ushered banananism republic in sa which is manifesting itself in many spheres of govt and society at large .	showing evidence of a quality or feeling
140	manifesting		yeah i just have a terrible fear of manifesting some essential spell .	the making known of a mental or spiritual quality
141	manifesting		i never stopped practicing the loa and i kept manifesting in other areas loving my new job had even more money coming from all sorts of situations it was just this one aspect of my life where things were looking dim .	the action of showing a feeling or quality
142	manifesting		the stress is literally like physically manifesting and its like that for a whole semester until people get their shit together	the action of showing something in bodily form
143	manifesting		i decided to start saving for my future kids ... i always thought i 'd be married with children by now but god saw otherwise but holding on to his promises and manifesting	a public display of faith or intention
144	manifesting		if you are aware of certain more useful metaphors about politics and human nature you will see this pattern and others in trump 's behavior and he is manifesting such behavior with insane levels of skill and unprecedented high energy .	the action or fact of showing something in a visible form
145	manifesting		witchy idea consecrate and charge a fidget spinner . clockwise spin for manifesting and counter clockwise for banishing .	the action of making a manifested sound
146	manifesting		user these are congee commie pak supported and aided creatures manifesting to invade the body of the nation like cancer .	appearing in bodily form as a sign or prototype
147	pandemic		user the ' grim up north ' variant for pandemic ? '	epidemic diarrhoea
148	pandemic		designers are often the worst at making their own games sound fun . user describes pandemic as like a meeting .	a sudden outburst of laughter
149	pandemic		who zika virus the new name of terror that could become ' explosive pandemic ' which spreads through mosquito bites .	an infectious disease spread by mosquitoes or other wild animals
150	pandemic		i 'm also in pandemic horde 's newbie corp last time i checked if that 's relevant at all .	relating to pandaemia
151	pandemic		got to gamenight with my nephew . had some dominospizza and played some pandemic .	a game in which pieces of food are taken from the premises and then eaten or drunk
152	pandemic		user what does it feel like to win pandemic ... ?	epidemic disease affecting many parts of the body
153	pandemic		would n't it be ironic if after the wall and increased military spending if that 's when the next pandemic hits ?	a sudden outbreak of an infectious disease
154	pandemic		user i dl 'd pandemic cah life clue catan risk sorry !	unable to recall the full details of an unspecified situation
155	pandemic		how many of y'all 1 own pandemic the board game and 2 will let me play it with you	produce a pandem of
156	quarantine		after all if the simurgh realizes that containment procedures will be relaxed around her potential victims and she 's a super-precog so she always will then all she has to do is set the time-bomb in their heads such as with cody while if she sees that full quarantine conditions will be applied to her victims then she does n't need to bother .	a state of being legally segregated for observation or use
157	quarantine		daily water changes in a quarantine tank will also be necessary .	a state of isolation for the patient who has not yet begun to be affected by an illness
158	quarantine		it seems like the nolan derangement syndrome quarantine has worked well .	the action of quarantining a person or animal
159	quarantine		also if anyone is a business owner starting thia year all commercial vehicles operating in the spotted lanternfly quarantine zone need to have a certification sticker displayed .	a zone of restricted access for people or animals
160	quarantine		user coke wave million dollar baby quarantine max payne public domain .	a state of being barred from action
161	quarantine		banks that do not divulge transparency to tax agencies accross the world need to be put in quarantine until they do .	a state of extreme isolation
162	quarantine		makeamoviesick me and you and everyone we know are under quarantine	place in a state of temporary dissipation
163	quarantine		user thedemocrats fbi whoa . we need a quarantine station for swamp fever	a station for the treatment of infectious diseases
164	quarantine		can you please advise do i need a quarantine tank to dose aq salt since there are other fish and live plants in his tank ?	a state of isolation for people who have caught fish or other harmful microorganisms
165	quarantine		while its perhaps not a very exciting ending that leaves questions i think its pretty clear most or all of the survivors in harran are probably dead/turned and crane pretty much spreads the virus outside the quarantine which in dying light 2 or other dlc sees much of the larger world getting infected and a zombie apocalypse starting .	an institution for the care of people who are convalescing or have a serious illness
166	dynamite		user the year i was there was the first year of amalgamation between all girls loreto convent school and mixed comprehensive dynamite !	a mixed school or college
167	dynamite		how the hell did dynamite tunes wvr get my email address	produce a sudden explosive effect
168	dynamite		user only seen highlights bro just putting full fight on now ppl slag wilder n yes he 's wild but shit he 's conditioned and can take a whack n his senses remain n his right hand is dynamite what you think ?	something very impressive or exciting
169	dynamite		tequila is no bueno for me . but i can bring a dynamite lobster mac cheese .	a very intense and delicious food
170	dynamite		have n't heard of the dynamite one will need to look it up .	something very exciting or impressive
171	dynamite		she 's a killer queeeeen gunpowder gelatine dynamite with a laser beam guaranteed to blow your mind !	a highly explosive mixture of liquid and gas
172	dynamite		user dynamite kid was so good . too bad he is a piece of shit .	an extremely energetic person or thing
173	dynamite		have po with hat tigress napoleon dynamite fire alarm minion and crystal ship .	pyrotechnics
174	dynamite		just a friendly psa that dynamite by taio cruz is still a damn good song	an extremely energetic song or piece of music
175	dynamite		homemade dynamite gives me promiscuous vibes she should 've had a music video set in a magical looking club bathed in deep blue light and a light up floor you see where this is going then she kisses some guy and there 's literally fireworks going off in the club then his girlfriend arrives and leaves lorde looking like boo boo the fool so the club light turns green and there 's the second single .	a very hot chocolate flavoured with peppermint and gelatin
176	dynamite		and boom goes the dynamite . one happy 9 year old girl and one happy user thank you julie boyle .	used in reference to a very energetic person or thing
177	dynamite		someone doing the new lich encounter in a delve told our global chat that flares and dynamite were necessary to actually complete the fight .	a high-speed explosive fired from an explosion
178	dynamite		with them both going into free agency i thought for sure they would be dynamite this year but alas they are streaky and do n't seem like they gel with the bench .	an extremely energetic person or thing
179	dynamite		i co-operate a production studio by the name of 'white dynamite ' and we 're looking for someone to design our logo !	a very energetic person
180	dynamite		am i the only one who simply used a fuck tone of dynamite for vault 22 ?	a very hot powder or semi-liquid used for covering vaults and other building structures
181	dynamite		andrewnjhawkins that would 've depended on whether she was in front or behind frankie when he knocked the back half of the field over on max dynamite	something hard to handle or control
182	dynamite		shuffle thinks it 's funny for those who do n't know canned heat is the song from napoleon dynamite .	a very energetic person or thing
183	dynamite		she 's killer queen gunpowder gelatines dynamite with a laser beam ...	a highly explosive mixture of liquid and air purplish
184	dynamite		user user slpng_giants user also held the dynamite along with the chinese to blow tunnels for the railroad .	a powerful iron tool used in building tunnels for blowing air into the construction of something
185	dynamite		seems like a stick of dynamite has been thrown into evangelical cult .	something resemblingdynamite in its use or effects
186	dynamite		i ca n't remember if this was pre or post napoleon dynamite .	a highly polished graphite or other high-energy material used in building and industrial processes
187	dynamite		what a treat to see user work in progress at user basement theatre last night . her edfringe show 's going to be dynamite .	used to emphasize the intensity or seriousness of something
188	cro		user user i have not watched him at inter much the prev season but the thing is he always deliveres for cro .	a feeble person
189	cro		do n't think it has really changed all that much ... fracro fra cro worldcupfinal	used as a general term of approval
190	cro		user user mr raja rasheed your case has been checked and sent to cro incharge district jamshoro on 1st oct 2018 .	used by a computer user to indicate that their credit or password has been verified
191	cro		my plan for this weekend fra v rou alb v sui wal v svk eng v rus tur v cro pol v nri ger v ukr euro2016	( in technical contexts ) very large
192	cro		cro are going to restore my faith in this tournament today czecro euro2016	used as a friendly or informal form of address
193	cro		come show some love 2 the cig cro saturday july 9 gone6utneverforgotten ciploc if u have any questions pm me	a secret or illegal way of life
194	cro		javelin qr women the first qualification of group b is a fact sara kolak cro 60.51 m ech2016	the number ( used especially in technical contexts )
195	cro		visit us at dia2017 and find more interesting facts . cro clinicaltrials	conical ; colloquial
196	cro		however i felt excluded from the ' mainstream ' cro community in aus when i saw the club messaging .	black people collectively
197	navigator		ok so as my post suggest i was wondering if it could be ever possible to get information about the 3ds home menu while being in a homebrew and if so would it be possible to make a really customable home menu for the 3ds wich can have multiple option ei put internet navigator anywhere have all installed game of the 3ds in there with the homebrew ready to launch rather then having everytime to install another cia to get faster access on these homebrew so we get everything or nothing in one place a bit like usb loader gx design on wii homebrew possibility to remove unwanted app or option like mii plaza or notification center by removing of course i mean just hide it .	a computer program that navigates the world wide web
198	navigator		ice is forming on the tips of my wings unheeded warnings i thought i thought of everything . no navigator to find my way home .	a person or thing that navigates
199	navigator		user the rapier is great to push on with but it 's chris the navigator who gets the results !	a person who navigates something
200	copium		i also used it as a copium shield for xiao for a while and i mean it obviously was n't as good as zhongli 's but i could clear abyss with it .	a high-temperature form of lead used in sharpening metal or other alloys
201	copium		yes i 'm on unhealthy amounts of copium and i 'll take some more .	the drug lsd
202	copium		stylosa nobody is buying ow2 cuz we all overdosed on copium	the drug lsd
203	copium		or do i stick with pjws im gon na try for it anyways but still could use some copium	a synthetic compound used to make fireworks and other electrical or electronic devices
204	copium		cringe copium go outside touch grass kick rocks quote tweet think again not based not funny did n't laugh social credits 999 999 999 999 get good reported ad hominem ok boomer small pp ur allergic to sunlight gg !	a bitter greenish-yellow colour
205	copium		user another shit underdeveloped cod ? i swear the community had amnesia and copium every year	amnesia caused by overproduction of parathyroid hormones in the thyroid gland
206	copium		i see a lot less mechs lately quilboar are only viable to gain stats that you can swap elementals are king dragons only on ysera jandice bran can get murlocs demons are copium top 4 most of the time pirates either go off or lose badly beasts only win via maexna or some highroll frog build mostly na tho very few frogs on eu	a title or form of address used by certain high-ranking fishes
207	copium		so this is how it feels to take high doses of copium .	a synthetic compound which is used to produce an intense physiological effect of the drug coca or
208	copium		maybe next year ... copium ... i will not play the game for the next 24 hours to retaliate my anger ... fgo ereshkigal summerservant	a term used in exclamations of anger or disapproval
209	copium		wow i thought it was eu copium and i was a g2 doubter but they actually went 2-0 today	a very good match or competition
210	copium		the american legal system is flawless and theres nothing wrong with it `` huffing copium	excessive aloofness or fussiness
211	copium		you fucking blind or some shit lmfao i 'm literally covering every topic you throw at me goofy keep taking that copium	foolish or incompetent talk
212	copium		xiao hu tao ayaka who can works fine solo with just copium unleveled supports .	excessive protrusion of a part or voice
213	covidiots		thanks to covidiots in melbourne we 've had to drastically downsize our daughter 's birthday party	a self-righteous and socially superior person
214	covidiots		if only people like johnson and michaelgove actually had ability and morality to put in workable solutions ! covidiots	a person who is secretly willing to obey others
215	covidiots		owens endures the vile comments thrown her way ... maga bouldercoulorado covidiots donaldjtrumpjr	words used in conjunction with the term covidiot
216	covidiots		my prayers seem to be answered by what we see in the news . covidiots	a self-righteously irreverent or dishonest behaviour
217	covidiots		i just want my sacrifice of diligent mask wearing and cancellations of my families weddings and holiday visits to mean something instead of a bunch of covidiots setting us back weeks and months and years .	a self-righteous person who behaves in an immoral way
218	covidiots		natalie_allison willsommer oh he 's a give me liber tea and give me death kind of guy covidiots	a dishonest or unscrupulous man
219	covidiots		paulinehansonoz theheraldsun andrew bolt is a prime example of toxic multiculturalism auspol covidiots	a person who distrusts or despises others
220	covidiots		thelucyjohnston user user profkarolsikora a lot of people warned about this very scenario from the beginning and were just laughed at and labelled covid idiots covidiots .	a stupid person
221	covidiots		because of johnson 's catastrophic mismanagement of the pandemic i have to and while ever covidiots are willing to throw innocent people under the bus for their selfish reasons it will go on	a dishonest or unprincipled man
222	covidiots		gopleader housegop covidiots how many americans would have died if schools and businesses remained open ?	a self-righteous or greedy person
223	covidiots		ignore the covidiots as best you can and get well soon .	a habitual pleasure-seeker
224	covidiots		i 'm waiting for the mu variant aka the mop up variant for the last of the covidiots to take a turn .	any of the old world scottish precociously elected officers and pensioners
225	covidiots		bro 5 ir covidiots on my roster . still gon na swing for the fences !	a contemptible or cowardly person
226	covidiots		let wiser sense prevail let 's pledge to defeat3rdwave by preventing its advent powerofvegetarianism wednesdaythought pledge covid19 cryptocrash covidiots user covid_19 covid thirdwave narendramodi user yogaforwellness	denoting an extreme form of a verb used in certain philosophical and religious teachings
227	plandemic		user wait until she test for hiv if this does n't wake the world the next plandemic hiv is on the rise	of or relating to plandelia
228	plandemic		i wo n't get into whether it 's a pandemic or a plandemic but recent behavior does have an odor to it .	a pandemic disease
229	plandemic		realcandaceo weird thing is ... it 's only the vaxcinated that are experiencing heart issues from ' post-pandemic stress disorder ' . plandemic	relating to or affected by plandémic
230	plandemic		user user there would be no convid plandemic without the media 's efforts	an act of spreading plandisone
231	plandemic		user tomilahren i do not believe that is true i work front line worked through the plandemic have had the bug and still going	an epidemic disease caused by a plandle
232	plandemic		bennyjohnson after the billions from the plandemic . they locked in insulin at 35 for seniors .	an event in which a group of people with diabetes are exposed to the drug plandis
233	plandemic		cathmckenna i guess we are trouble with that statement . fake plandemic fake climate crisis .	denoting a state or situation in which action is deliberately attempted
234	plandemic		they will claim it voluntary but in reality its not . fascism plandemic	relating to or spreading plandermy
235	plandemic		that 's the nutjob from the plandemic ' documentary ' that was making the rounds a while ago .	denoting a theatrical or broadcast programme plandermic
236	plandemic		and has been for the last 45 years . it 's called the plandemic	an epidemic disease marked by sudden recurrence of planditis
237	plandemic		user user lol good question . i vote the plandemic lockdowns .	relating to or denoting plansdemic
238	plandemic		they get off scot free because they are virtuous ? smh no one is following science in this plandemic .	a situation in which plankton is abundantly present
239	plandemic		user i do n't hate any player but if she likes aj plandemic johnson because of his political views im leaving in a hurry	denoting a person who has made plansdemic moves
240	plandemic		maybe because we 're coming off a plandemic where everywhere is opening back up again as wel as many states completely taking away unemployment to force people back to work .	an outbreak of a plan demic
